time,step,loss,examples/sec,sec/batch
2016-11-29 02:58:42.466462,2380,1.52,694.4,0.184
2016-11-29 02:58:44.291321,2390,1.42,699.3,0.183
2016-11-29 02:58:46.113211,2400,1.43,710.6,0.180
2016-11-29 02:58:48.120370,2410,1.38,702.8,0.182
2016-11-29 02:58:49.957287,2420,1.30,698.4,0.183
2016-11-29 02:58:51.777154,2430,1.42,698.4,0.183
2016-11-29 02:58:53.597927,2440,1.51,712.1,0.180
2016-11-29 02:58:55.421545,2450,1.47,699.8,0.183
2016-11-29 02:58:57.245408,2460,1.66,711.0,0.180
2016-11-29 02:58:59.069638,2470,1.45,664.7,0.193
2016-11-29 02:59:00.886277,2480,1.47,674.4,0.190
2016-11-29 02:59:02.720700,2490,1.40,703.9,0.182
2016-11-29 02:59:04.534812,2500,1.52,698.2,0.183
2016-11-29 02:59:06.572054,2510,1.40,625.6,0.205
2016-11-29 02:59:08.372042,2520,1.45,689.6,0.186
2016-11-29 02:59:10.206088,2530,1.49,699.6,0.183
2016-11-29 02:59:12.028732,2540,1.47,714.3,0.179
2016-11-29 02:59:13.843192,2550,1.44,700.8,0.183
2016-11-29 02:59:15.659508,2560,1.37,704.2,0.182
2016-11-29 02:59:17.490426,2570,1.58,679.0,0.189
2016-11-29 02:59:19.309531,2580,1.21,685.5,0.187
2016-11-29 02:59:21.124057,2590,1.30,689.8,0.186
2016-11-29 02:59:22.949469,2600,1.41,651.1,0.197
2016-11-29 02:59:24.932838,2610,1.25,704.4,0.182
2016-11-29 02:59:26.775928,2620,1.44,657.1,0.195
2016-11-29 02:59:28.579541,2630,1.43,723.3,0.177
2016-11-29 02:59:30.403351,2640,1.61,676.6,0.189
2016-11-29 02:59:32.215367,2650,1.45,723.7,0.177
2016-11-29 02:59:34.025238,2660,1.41,709.8,0.180
2016-11-29 02:59:35.862431,2670,1.34,690.1,0.185
2016-11-29 02:59:37.686632,2680,1.44,701.0,0.183
2016-11-29 02:59:39.520452,2690,1.27,716.5,0.179
2016-11-29 02:59:41.339399,2700,1.44,694.7,0.184
2016-11-29 02:59:43.340360,2710,1.42,693.0,0.185
2016-11-29 02:59:45.151022,2720,1.37,772.0,0.166
2016-11-29 02:59:46.975312,2730,1.43,791.2,0.162
2016-11-29 02:59:48.799929,2740,1.39,709.4,0.180
2016-11-29 02:59:50.615937,2750,1.39,696.0,0.184
2016-11-29 02:59:52.433134,2760,1.34,710.8,0.180
2016-11-29 02:59:54.264378,2770,1.38,697.2,0.184
2016-11-29 02:59:56.095160,2780,1.43,690.1,0.185
2016-11-29 02:59:57.922802,2790,1.49,685.8,0.187
2016-11-29 02:59:59.731442,2800,1.46,698.6,0.183
2016-11-29 03:00:01.812702,2810,1.24,678.7,0.189
2016-11-29 03:00:03.635341,2820,1.18,711.9,0.180
2016-11-29 03:00:05.475189,2830,1.55,696.5,0.184
2016-11-29 03:00:07.317684,2840,1.43,710.1,0.180
2016-11-29 03:00:09.188158,2850,1.28,630.3,0.203
2016-11-29 03:00:11.034882,2860,1.30,678.0,0.189
2016-11-29 03:00:12.866377,2870,1.15,706.5,0.181
2016-11-29 03:00:14.674339,2880,1.29,726.7,0.176
2016-11-29 03:00:16.492280,2890,1.23,702.4,0.182
2016-11-29 03:00:18.318122,2900,1.35,702.8,0.182
2016-11-29 03:00:20.314410,2910,1.31,718.5,0.178
2016-11-29 03:00:22.140998,2920,1.20,684.2,0.187
2016-11-29 03:00:23.967212,2930,1.36,706.0,0.181
2016-11-29 03:00:25.781630,2940,1.43,694.4,0.184
2016-11-29 03:00:27.600802,2950,1.45,739.1,0.173
2016-11-29 03:00:29.407109,2960,1.21,727.1,0.176
2016-11-29 03:00:31.254456,2970,1.38,658.1,0.195
2016-11-29 03:00:33.058958,2980,1.27,746.5,0.171
2016-11-29 03:00:34.879046,2990,1.25,691.8,0.185
2016-11-29 03:00:36.703174,3000,1.39,686.1,0.187
2016-11-29 03:00:39.207263,3010,1.37,712.3,0.180
2016-11-29 03:00:41.034174,3020,1.38,706.7,0.181
2016-11-29 03:00:42.880145,3030,1.20,635.0,0.202
2016-11-29 03:00:44.683988,3040,1.27,694.4,0.184
2016-11-29 03:00:46.506732,3050,1.31,703.9,0.182
2016-11-29 03:00:48.310946,3060,1.22,707.1,0.181
2016-11-29 03:00:50.120905,3070,1.32,716.4,0.179
2016-11-29 03:00:51.937116,3080,1.34,707.5,0.181
2016-11-29 03:00:53.766400,3090,1.42,674.6,0.190
2016-11-29 03:00:55.642820,3100,1.34,665.6,0.192
